"rt","key_press","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","trial_type","trial_index","time_elapsed","internal_node_id"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.681818181818183","[17.100000000093132,16.799999999813735,16.5999999998603,28.200000000186265,4.600000000093132,17.0999999998603,16.800000000046566,16.699999999953434,16.699999999953434,16.699999999953434,16.200000000186265]","11","RDK","9237","1981114","0.0-0.0-9237.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","17.990909090900626","[14.5,16.5999999998603,16.800000000046566,16.600000000093132,16.699999999953434,33.699999999953434,15.199999999953434,17.700000000186265,16.699999999720603,16.700000000186265,16.699999999953434]","11","RDK","9238","1981319","0.0-0.0-9238.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.163636363619432","[16.399999999906868,36.699999999953434,13.199999999953434,16.699999999953434,16.800000000046566,16.699999999953434,16.600000000093132,16.699999999953434,16.699999999953434,16.600000000093132,16.699999999953434]","11","RDK","9239","1981531","0.0-0.0-9239.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.641666666662786","[16.300000000046566,16.800000000046566,16.600000000093132,16.5999999998603,22.100000000093132,11.299999999813735,16.600000000093132,16.800000000046566,16.5999999998603,16.700000000186265,16.699999999953434,16.5999999998603]","12","RDK","9240","1981751","0.0-0.0-9240.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.727272727272727","[17.299999999813735,16.600000000325963,15.99999999976717,17.4000000001397,16.699999999953434,16.199999999953434,30.100000000093132,3.5999999998603016,16.700000000186265,16.699999999953434,16.699999999953434]","11","RDK","9241","1981964","0.0-0.0-9241.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","17.99090909092179","[14.400000000139698,16.5999999998603,38.60000000009313,10.899999999906868,17.300000000046566,16.700000000186265,16.699999999720603,16.700000000186265,16.5,16.899999999906868,16.600000000093132]","11","RDK","9242","1982167","0.0-0.0-9242.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.03636363635517","[14.899999999906868,16.800000000046566,15.599999999860302,17.700000000186265,34.89999999990687,15,16.799999999813735,16.700000000186265,16.699999999953434,16.600000000093132,16.699999999953434]","11","RDK","9243","1982381","0.0-0.0-9243.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.79999999998836","[17.5999999998603,16.699999999953434,16.699999999953434,16.699999999953434,15.700000000186265,17.5999999998603,16.699999999953434,16.700000000186265]","8","RDK","9244","1982598","0.0-0.0-9244.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.341666666655026","[13.599999999860302,16.699999999953434,16.699999999953434,22.800000000046566,10.300000000046566,16.9000000001397,16.699999999720603,16.700000000186265,16.699999999953434,16.699999999953434,16.600000000093132,15.699999999953434]","12","RDK","9245","1982801","0.0-0.0-9245.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.15454545454122","[16.100000000093132,16.699999999953434,16.800000000046566,16.699999999953434,16.600000000093132,35.699999999953434,14.300000000046566,16.699999999953434,16.700000000186265,16.699999999720603,16.699999999953434]","11","RDK","9246","1983016","0.0-0.0-9246.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.15454545456239","[46.00000000023283,2.5999999998603016,17.5999999998603,16.700000000186265,16.699999999953434,16.700000000186265,16.699999999953434,16.5999999998603,16.300000000046566,17.0999999998603,16.700000000186265]","11","RDK","9247","1983232","0.0-0.0-9247.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.754545454570856","[17.5,16.700000000186265,16.5,22.699999999953434,10.800000000046566,16.699999999953434,16.600000000093132,16.699999999720603,16.700000000186265,16.699999999953434,16.700000000186265]","11","RDK","9248","1983448","0.0-0.0-9248.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.49166666667831","[14.5,16.700000000186265,16.5999999998603,16.700000000186265,16.699999999720603,16.699999999953434,16.600000000093132,29,3.6000000000931323,16.5,17.49999999976717,16.800000000279397]","12","RDK","9249","1983651","0.0-0.0-9249.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.145454545441847","[16.300000000046566,16.5999999998603,32.89999999990687,17.300000000046566,16.50000000023283,16.799999999813735,16.5999999998603,16.600000000093132,16.4000000001397,17,16.5999999998603]","11","RDK","9250","1983867","0.0-0.0-9250.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.163636363619432","[16.300000000046566,16.799999999813735,16.600000000093132,16.699999999953434,36,14,16.700000000186265,16.5999999998603,16.700000000186265,16.199999999720603,17.199999999953434]","11","RDK","9251","1984082","0.0-0.0-9251.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","20.900000000010348","[37.800000000046566,16.899999999906868,16.0999999998603,17.4000000001397,15.899999999906868,17.4000000001397,16.199999999953434,42.99999999976717,7.400000000372529]","9","RDK","9252","1984312","0.0-0.0-9252.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.33000000002794","[16.9000000001397,16.300000000046566,39.299999999813735,9.700000000186265,17.5999999998603,16.800000000046566,16.699999999953434,16.50000000023283,16.5,17]","10","RDK","9253","1984515","0.0-0.0-9253.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.383333333341096","[13.400000000139698,16.5999999998603,16.5999999998603,16.700000000186265,16.5,16.699999999953434,24.300000000046566,9.099999999860302,19.700000000186265,13.799999999813735,16.600000000093132,16.600000000093132]","12","RDK","9254","1984719","0.0-0.0-9254.0"
